name ,company,email,Phone,location,category,quantity ,requirements ,remarks,call status,follow up date
,Narayana IIT & PMT Academy,,1243217791,,institute,,,,,
,ZINGURU CLASSES,,1244036333,,institute,,,,,
,"Vidyamandir Classes, Gurugram",,1244148541,,institute,,,,,
,FIITJEE Gurgaon,,1244628400,,institute,,,,,
,FIITJEE Faridabad,,1294001608,,institute,,,,,
,"Vidyamandir Classes, Faridabad",,1294163119,,institute,,,,,
,ATHENS EDUSPUR PVT. LTD.,,7011412003,,institute,,,,,
,GradSure Education - Coaching Institute in Gurgaon,,7042202561,,institute,,,,,
,Physics Gurukul,,7065827902,,institute,,,,,
,"Physics Wallah Vidyapeeth Coaching Center Gurugram | IIT JEE, NEET & Foundation Classes",,7428890305,,institute,,,,,
,"Focus Goal Education Hub, IIT-JEE, NEET, Foundation Gurugram",,7494906465,,institute,,,,,
,Excellent Tutorials,,7678489848,,institute,,,,,
,Takshila Vidyapeeth Institute,,7701867233,,institute,,,,,
,IMCS Academy-Math|Physics|Chemistry | FOUNDATION(5th-12th) | JEE | NEET | CUET | ONLINE | OFFLINE,,7827852724,,institute,,,,,
,Inspired classes,,7840030971,,institute,,,,,
,UNO TEST PREP - Best Coaching Institute in Gurgaon for NEET & IIT JEE,,7878788840,,institute,,,,,
,"We Educate - Best IIT JEE & NEET Coaching Institute in Gurugram, Haryana Sector 4",,7979939527,,institute,,,,,
,Arihant Classes,,7982680217,,institute,,,,,
,"Ranjan classes(IIT JEE ,NEET and BOARDS)",,8010766806,,institute,,,,,
,Lakshya Institute,,8058055100,,institute,,,,,
,Goyal Classes,,8069228671,,institute,,,,,
,Zigyan Eduvision Pvt Ltd - IIT JEE NEET Class 9th 10th Coaching,,8130439800,,institute,,,,,
,"The great learning ,JEE ADVANCED MAINS ,NEET , PHYSICS, CHEMISTRY, MATHS, CODING coaching and tuition classes.",,8287763920,,institute,,,,,
,"Pradeep Agarwal Academy - Best JEE Coaching in Gurgaon, IIT JEE Mains",,8448084352,,institute,,,,,
,"Best IIT JEE, NEET Coaching Institute in Gurgaon",,8448084353,,institute,,,,,
,Naveen Sharma Physics classes for IIT/NEET/CBSE,,8586968622,,institute,,,,,
,"LAKSHYA INTERNATIONAL | IAS NID IIT-JEE, NEET-Medical & Foundation Best Coaching Classes in Gurgaon",,8695999333,,institute,,,,,
,Aakash iTutor,,8800012991,,institute,,,,,
,"Aakash Institute, Sector 16 (Faridabad)",,8800013022,,institute,,,,,
,"Aakash Institute, NIT Faridabad (Faridabad)",,8800729482,,institute,,,,,
,"Aakash Institute, Sector 14 Old Gurgaon",,8800840109,,institute,,,,,
,"Aakash Institute, Gurgaon South City-II",,8800845034,,institute,,,,,
,"Career Launcher Gurgaon (Sector-14) - Best Coaching for CAT, CLAT, IPMAT, CUET, GMAT, BBA, MBA, LAW Entrances in Gurugram",,8860608001,,institute,,,,,
,"Career Launcher, Faridabad (Sector-15) - Best CLAT, IPMAT, CUET, CAT, GMAT Coaching near me in Faridabad",,8860608006,,institute,,,,,
,V-JEE Institute,,8890757698,,institute,,,,,
,Actuation Academy Old Gurgaon-IIT/JEE/NEET/Foundation Institute,,9266103333,,institute,,,,,
,NARAYANA IIT-JEE / NEET / FOUNDATION - FARIDABAD,,9266728125,,institute,,,,,
,IITIANGUIDE,,9289287111,,institute,,,,,
,Challengers Classes [Physics Tuition: Rakesh Kumar Mishra -B.Tech (Mech)],,9310159947,,institute,,,,,
,Smriti Chemistry Classes- Best teacher for NEET IITJEE XI XII Tuition- IIT Alumna Specialised in organic Chemistry Coaching,,9311127060,,institute,,,,,
,"Vidyamandir Classes , Old Gurgaon Branch",,9350902824,,institute,,,,,
,"ALLEN Career Institute, Gurugram Sector 51",,9513685900,,institute,,,,,
